title,type,portal_title,parent_and_id_1,parent_and_id_2,parent_and_id_3,parent_and_id_4,url,begin,rs,associated_rs,wikidata,hosting,technology,api,api_list_children,dcat_ap_de,last_check
Bernkastel-Wittlich,district,Landkreis Bernkastel-Wittlich,daten.rlp.de|landkreis_bernkastel_wittlich,,,,,,07231,,Q8585,,,,,,2023-07-18
Bersenbrück,collectiveMunicipality,Samtgemeinde Bersenbrück,geoportal.de|SamtgemeindeBersenbrck,,,,,,034595402,,Q453990,,,,,,2023-07-24
Bezirksversammlung,municipalityAgency,ALLRIS,suche.transparenz.hamburg.de|allris,,,,,,,020000000000,Q854388,,CKAN,,,,2023-04-11
Bielefeld,municipality,Bielefeld,open.nrw|bielefeld,mcloud.de|OpenNRWBielefeld,,,https://open-data.bielefeld.de/,,057110000000,,Q2112,Stadt Köln,DKAN,https://open-data.bielefeld.de/api/3/action/package_list,https://open-data.bielefeld.de/api/3/action/group_list,,2023-05-21
Bielefeld - Amt für Geoinformation und Kataster,municipalityAgency,Stadt Bielefeld - Amt für Geoinformation und Kataster,geoportal.de|StadtBielefeldAmtfrGeoinformationundKataster,,,,,,,057110000000,,,,,,,2023-05-21
Birkenfeld,collectiveMunicipality,Verbandsgemeinde Birkenfeld,daten.rlp.de|verbandsgemeinde_birkenfeld,,,,,,071345002,,Q510356,,,,,,2023-07-19
Bissendorf,municipality,Gemeinde Bissendorf,geoportal.de|GemeindeBissendorf,,,,,,034590012012,,Q569596,,,,,,2023-08-11
Blankenhain,municipality,Stadt Blankenhain,geoportal.de|StadtBlankenhain,,,,,,160710008008,,Q539185,,,,,,2023-08-13
Bocholt,municipality,Stadt Bocholt,geoportal.de|StadtBocholt,,,,,,055540008008,,Q3917,,,,,,2023-05-21
Bochum,municipality,Stadt Bochum,opendata.ruhr|stadt-bochum,geoportal.de|StadtBochum,,,http://www.bochum.de/opendata,,059110000000,,Q2103,,Website,,,,2023-05-21
Bonn,municipality,Bonn,open.nrw|bonn,mcloud.de|OpenNRWBonn,,,http://opendata.bonn.de/,2014-05-28,053140000000,,Q586,Stadt Köln,DKAN,https://opendata.bonn.de/api/3/action/package_list,https://opendata.bonn.de/api/3/action/group_list,,2023-07-03
Bottrop,municipality,Stadt Bottrop,opendata.ruhr|bottrop,www.offenesdatenportal.de|stadt-bottrop,geoportal.de|StadtBottrop,,https://www.offenesdatenportal.de/organization/stadt-bottrop,,055120000000,,Q3069,,,,,,2023-05-21
Bramsche,municipality,Stadt Bramsche,geoportal.de|StadtBramsche,,,,,,034590014014,,Q16109,,,,,,2023-08-11
Brandenburg,state,Brandenburg,http://dcat-ap.de/def/contributors/landBrandenburg,,,,https://datenadler.de/,,12,,Q1208,Inqbus scientific computing,PKAN,,https://datenadler.de/publisher,,2023-02-05
Brauneberg,municipality,Ortsgemeinde Brauneberg,daten.rlp.de|ortsgemeinde_brauneberg,,,,,,072315001012,,Q567156,,,,,,2023-07-19
Braunschweig,municipality,Stadt Braunschweig,geoportal.de|StadtBraunschweig,,,,http://www.braunschweig.de/leben/stadtplanung_bauen/geoinformationen/opengeodata.html,,031010000000,,Q2773,,Website,,,,2023-05-21
Breitungen/Werra,collectiveMunicipality,Gemeinde Breitungen und der beauftragenden Gemeinden,geoportal.de|GemeindeBreitungenundderbeauftragendenGemeinden,,,,,,160665051,,Q312658,,,,,,2023-08-14
Bremen,municipality+state,Freie Hansestadt Bremen,http://dcat-ap.de/def/contributors/transparenzportalBremen,,,,http://daten.bremen.de/,,04,,Q1209,,Website,,,,2023-02-15
Brenk,municipality,Ortsgemeinde Brenk,daten.rlp.de|ortsgemeinde_brenk,,,,,,071315004201,,Q645340,,,,,,2023-07-19
